Error,Type
error C2143: syntax error: missing ';' before '}',C_error
error C2664: cannot convert argument 1 from 'std::string' to 'const char*',C_error
error C2061: syntax error: identifier 'string',C_error
error C3861: 'cout': identifier not found,C_error
error C2039: 'vector': is not a member of 'std',C_error
error C2065: 'nullptr' : undeclared identifier,C_error
error C2511: 'void MyClass::myFunction(void)' : overloaded member function not found in 'MyClass',C_error
error C2678: binary '<<' : no operator found which takes a left-hand operand of type 'std::ostream',C_error
"error C2784: 'template<class _Elem,class _Traits> std::basic_ostream<_Elem,_Traits>' : could not deduce template argument",C_error
"error C2440: 'initializing' : cannot convert from 'int' to 'std::vector<int,std::allocator<int>>'",C_error
error C2512: no appropriate default constructor available,C_error
"error C2248: 'std::map<Key,T>::map' : cannot access private member declared in class 'std::map<Key,T>'",C_error
error C2662: 'Type::function' : cannot convert 'this' pointer from 'const Type' to 'Type &',C_error
error C2059: syntax error : '}',C_error
error C2228: left of '.length' must have class/struct/union,C_error
fatal error LNK1120: 2 unresolved externals,C_error
error C4430: missing type specifier - int assumed,C_error
error C2676: binary '+': 'std::string' does not define this operator,C_error
error C2679: binary '=': no operator found which takes a right-hand operand of type 'const char [6]',C_error
error C4996: 'strcpy': This function or variable may be unsafe,C_error
error C2082: redefinition of formal parameter 'x',C_error
error C2086: 'int x': redefinition,C_error
error C2466: cannot allocate an array of constant size 0,C_error
error C2057: expected constant expression,C_error
error C2088: '<<': illegal for struct/union,C_error
error C2597: illegal reference to non-static member 'MyClass::myVar',C_error
error C2668: 'function': ambiguous call to overloaded function,C_error
error C3867: 'Class::method': non-standard syntax; use '&' to create a pointer to member,C_error
error C2593: 'operator <<' is ambiguous,C_error
error C2660: 'function': function does not take 2 arguments,C_error
error C2064: term does not evaluate to a function taking 2 arguments,C_error
error C2797: 'MyClass::MyFunction': list initialization inside member initializer list or non-static data member initializer is not implemented,C_error
error MSB3073: The command 'echo Building...' exited with code 1,C_error
error C2220: warning treated as error - no 'object' file generated,C_error
error C2782: 'template parameter' : template parameter not used in parameter list,C_error
